Dog breed,category,popularity ranking,Intelligence ranking,Intelligence category,Life expectancy,Average price,Price bracket,Food per lifetime,Size category,Cuteness rating 
Black and Tan Coonhound,hound,109,44,Average,no data,325,budget,no data,large,4
Black Russian Terrier,working,128,no data,no data,10.5,2833.33,high-end,no data,large,3
Bloodhound,hound,48,75,Lowest,6.75,607.5,budget,4229.17,large,5
Bluetick Coonhound,hound,136,no data,no data,no data,370,budget,no data,large,3
Border Collie,herding,45,1,Brightest,12.52,622.5,budget,3585.98,medium,3
Border Terrier,terrier,80,30,Above average,14,833.33,mid-price,4009.88,small,4
Borzoi,hound,102,76,Lowest,9.08,675,budget,3738.5,large,2
Boston Terrier,non-sporting,22,54,Average,10.92,690,budget,3127.71,medium,4
Bouvier des Flandres,herding,83,29,Above average,10.34,1335,mid-price,4257.28,large,3
Boxer,working,7,48,Average,8.81,700,mid-price,3627.33,medium,5
Boykin Spaniel,sporting,138,no data,no data,no data,531.25,budget,no data,medium,3
Briard,herding,125,30,Above average,11.17,650,budget,4599.01,large,4
Brittany,sporting,30,19,Excellent,12.92,617.5,budget,5319.54,medium,4
Brussels Griffon,toy,77,59,Fair,12,832.5,mid-price,3437.04,small,5
Bull Terrier,terrier,51,66,Fair,10.21,1085,mid-price,4203.75,medium,1
Bulldog,non-sporting,6,78,Lowest,6.29,2680,high-end,2589.77,medium,1
Bullmastiff,working,40,69,Fair,7.57,980,mid-price,3116.79,large,4
Cairn Terrier,terrier,59,35,Above average,13.84,435,budget,3964.05,small,4
Canaan Dog,herding,168,no data,no data,14.67,2012,high-end,6040.06,medium,3
Cane Corso,working,67,no data,no data,no data,1070,mid-price,no data,large,1
Cardigan Welsh Corgi,herding,81,26,Excellent,12.7,828,mid-price,no data,small,4
Cavalier King Charles Spaniel,toy,21,44,Average,11.29,1016.56,mid-price,3233.68,small,5
Cesky Terrier,terrier,106,no data,no data,8.42,no data,no data,3466.76,small,2
Chesapeake Bay Retriever,sporting,46,27,Above average,9.48,522,budget,3903.19,large,3
Chihuahua,toy,14,67,Fair,no data,587.5,budget,no data,small,6
Chinese Crested,toy,61,61,Fair,10.08,537.5,budget,no data,small,2
Chinese Shar Pei,non-sporting,50,51,Average,no data,840,mid-price,no data,medium,4
